timestamp,log_text,log_level
2024-12-11 00:02:46.848523,Backup job completed successfully.,INFO
2024-12-16 17:41:57.848538,Deployment deployment-1 failed to roll out successfully.,ERROR
2024-12-11 01:21:10.848543,Node node-1 is ready for scheduling.,INFO
2024-12-15 04:01:02.848546,Failed to mount volume for pod api-server.,ERROR
2024-12-14 08:35:14.848550,Replica count for deployment deployment-7 dropped below threshold.,WARNING
2024-12-16 15:52:04.848553,Node node-1 is NotReady for scheduling pods.,ERROR
2024-12-14 20:30:21.848556,Deployment deployment-2 failed to roll out successfully.,ERROR
2024-12-15 07:41:27.848559,Slow response time observed for pod api-server.,WARNING
2024-12-12 10:33:35.848562,Pod redis-pod started successfully in namespace production.,INFO
2024-12-14 21:43:24.848566,High memory usage detected in pod db-pod.,WARNING
2024-12-15 08:21:42.848569,Deployment deployment-5 failed to roll out successfully.,ERROR
2024-12-17 08:56:23.848572,Pod db-pod started successfully in namespace kube-system.,INFO
2024-12-15 08:34:52.848575,Failed to mount volume for pod nginx-pod.,ERROR
2024-12-17 00:30:41.848578,Deployment deployment-3 failed to roll out successfully.,ERROR
2024-12-11 11:47:18.848581,Deployment deployment-3 failed to roll out successfully.,ERROR
2024-12-16 11:43:03.848583,Backup job completed successfully.,INFO
2024-12-11 12:55:34.848586,Deployment deployment-9 failed to roll out successfully.,ERROR
2024-12-14 10:04:42.848588,Backup job completed successfully.,INFO
2024-12-14 17:38:31.848591,Replica count for deployment deployment-10 dropped below threshold.,WARNING
2024-12-13 09:20:00.848594,Pod api-server crashed due to out of memory (OOMKilled).,ERROR
2024-12-16 23:05:21.848597,DiskPressure condition detected on node node-5.,WARNING
2024-12-15 13:37:36.848600,Failed to mount volume for pod nginx-pod.,ERROR
2024-12-15 21:41:24.848602,Backup job completed successfully.,INFO
2024-12-16 10:38:48.848605,Node node-1 is NotReady for scheduling pods.,ERROR
2024-12-15 05:55:15.848607,Backup job completed successfully.,INFO
2024-12-11 05:09:16.848610,Failed to mount volume for pod api-server.,ERROR
2024-12-12 18:44:35.848613,DiskPressure condition detected on node node-3.,WARNING
2024-12-14 17:00:36.848616,Deployment deployment-4 failed to roll out successfully.,ERROR
2024-12-15 04:30:39.848619,High memory usage detected in pod nginx-pod.,WARNING
2024-12-17 07:19:47.848622,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-11 01:21:43.848625,Slow response time observed for pod api-server.,WARNING
2024-12-13 00:14:58.848628,Deployment deployment-7 failed to roll out successfully.,ERROR
2024-12-11 06:40:47.848630,Deployment deployment-7 failed to roll out successfully.,ERROR
2024-12-13 21:03:50.848633,Slow response time observed for pod frontend-pod.,WARNING
2024-12-15 12:45:58.848636,Pod nginx-pod started successfully in namespace monitoring.,INFO
2024-12-13 18:36:15.848639,Deployment deployment-9 scaled to default replicas.,INFO
2024-12-17 01:10:33.848642,Node node-2 is ready for scheduling.,INFO
2024-12-17 02:07:05.848645,Deployment deployment-9 failed to roll out successfully.,ERROR
2024-12-11 13:31:00.848648,Deployment deployment-7 failed to roll out successfully.,ERROR
2024-12-12 16:05:26.848651,Replica count for deployment deployment-6 dropped below threshold.,WARNING
2024-12-16 17:12:02.848654,Node node-5 is ready for scheduling.,INFO
2024-12-14 10:20:49.848657,Pod redis-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-16 01:32:24.848659,Backup job completed successfully.,INFO
